"tx_id","gene","baseMean","log2FoldChange","padj","neglog10padj","sig"
"fd90868a-e3e0-4cb7-856d-b1433129bae0_AT1G01120","AT1G01120",42.1070192534986,-0.00193760291165589,0.998084143569175,0.0008328439357223,FALSE
"5a003d3f-cb06-48da-928a-2625410ff964_Chr1:63000","Chr1:63000",2.83421731384733,-0.0274413319999766,NA,NA,FALSE
"5f3569af-969a-4ffa-a889-bf698e0bedaa_Chr1:64000","Chr1:64000",1.24244257310841,-0.0151571555433041,NA,NA,FALSE
"da005a59-f723-474b-8a03-0039bf6f033f_Chr1:73000","Chr1:73000",4.10330626711849,-0.00825201085869678,NA,NA,FALSE
"43ba5882-6ac4-47c4-b0f9-9a38c3e29452_Chr1:75000","Chr1:75000",0.918059155245311,0.00942383840220799,NA,NA,FALSE
"8bec7dca-3446-4d32-a571-43ef4041162b_AT1G01180","AT1G01180",3.65274236052251,0.0337540436073155,NA,NA,FALSE
"63ded3f1-6da6-4488-86c4-34119943e1b4_AT1G01250","AT1G01250",1.80711674788304,-0.0155727966919471,NA,NA,FALSE
"a49180a5-b521-4bf4-84cf-154a087624c5_AT1G01260","AT1G01260",1.016329010466,0.022246165264936,NA,NA,FALSE
"1d96dfc9-6317-4996-a548-4896e1cee891_G43","G43",45.8297679504937,-0.0357199123817274,0.934024036079935,0.0296419475358955,FALSE
"3cda2218-ce2f-4104-8818-8195e1533424_AT1G01390","AT1G01390",0.879484198093565,-0.0229482956848061,NA,NA,FALSE
"c8115ac4-5f21-44aa-b421-f369e8422e5d_Chr1:154000","Chr1:154000",1.38007212401826,0.0149523368267698,NA,NA,FALSE
"c2f7932c-28c0-41a0-a1ed-592939c1ced9_AT1G01420","AT1G01420",1.49190351834433,-0.0172488862562658,NA,NA,FALSE
"3a31cefd-6a92-4a38-883b-dd07b9ef4326_Chr1:172000","Chr1:172000",3.21957626502011,0.0359119967664145,NA,NA,FALSE
"6c68d55f-925d-4d35-afcd-425c20c06d52_AT1G01470","AT1G01470",2.92616748040013,-0.0292399787815053,NA,NA,FALSE
"12355edf-2851-4e67-a42f-9520fa4cac4a_Chr1:192000","Chr1:192000",0.98729136981713,0.0308979051425368,NA,NA,FALSE
"2ff62fe2-7c53-4dda-9f38-dd1e2559423b_AT1G01550","AT1G01550",2.37978043237887,-0.029028306899568,NA,NA,FALSE
"f7ba7826-24fe-4175-a855-6babc3114cc0_Chr1:202000","Chr1:202000",3.24319626753885,0.0229398147842045,NA,NA,FALSE
"e02beb9c-bf8f-4045-bf49-8dfa6520660e_AT1G01620","AT1G01620",1.45921982570759,-0.0213498595308817,NA,NA,FALSE
"e7890be4-af37-4f64-a2f1-93a6db4468fd_Chr1:258000","Chr1:258000",2.35400293260953,-0.00568507277743368,NA,NA,FALSE
